repo,seed,model,variant,bbox_mAP,bbox_mAP_50,bbox_mAP_75,bbox_mAP_s,bbox_mAP_m,finished_at,summary_path,test_json,notes
varroa_mmdet_runs_newmodels,43,faster_rcnn,dgfe_api,0.363,0.91,0.187,0.352,0.384,2026-07-13T11:46:24.873924+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed43/faster_rcnn/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed43/faster_rcnn/dgfe_api/test_results/20260713_114608/20260713_114608.json,multiple test jsons: 3; used latest 20260713_114608
varroa_mmdet_runs_newmodels,44,faster_rcnn,dgfe_api,0.33,0.892,0.12,0.332,0.336,2026-07-13T13:00:18.540845+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/faster_rcnn/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/faster_rcnn/dgfe_api/test_results/20260713_130003/20260713_130003.json,
varroa_mmdet_runs_dgfe,44,fcos,base,0.3,0.883,0.081,0.283,0.333,2026-07-13T06:03:52.607386+00:00,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed44/fcos/base/job_summary.json,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed44/fcos/base/test_results/20260713_060338/20260713_060338.json,
varroa_mmdet_runs_newmodels,44,fcos,base,0.3,0.883,0.081,0.283,0.333,2026-07-13T06:03:52.607386+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/fcos/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/fcos/base/test_results/20260713_060338/20260713_060338.json,
varroa_mmdet_runs_dgfe,42,fcos,dgfe_api,0.331,0.886,0.12,0.309,0.368,2026-07-13T11:45:13.212281+00:00,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed42/fcos/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed42/fcos/dgfe_api/test_results/20260713_114456/20260713_114456.json,multiple test jsons: 3; used latest 20260713_114456
varroa_mmdet_runs_fcos_dgfe_api,42,fcos,dgfe_api,0.32,0.886,0.103,0.308,0.345,2026-07-14T09:43:00.808220+00:00,hf_runs/varroa_mmdet_runs_fcos_dgfe_api/varroa_fcos_dgfe_api_seed42/fcos/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_fcos_dgfe_api/varroa_fcos_dgfe_api_seed42/fcos/dgfe_api/test_results/20260714_094246/20260714_094246.json,
varroa_mmdet_runs_newmodels,42,fcos,dgfe_api,0.331,0.886,0.12,0.309,0.368,2026-07-13T11:45:13.212281+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed42/fcos/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed42/fcos/dgfe_api/test_results/20260713_114456/20260713_114456.json,multiple test jsons: 3; used latest 20260713_114456
varroa_mmdet_runs_dgfe,43,fcos,dgfe_api,0.323,0.902,0.122,0.309,0.363,2026-07-13T11:46:55.626039+00:00,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed43/fcos/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_dgfe/varroa_4models_seed43/fcos/dgfe_api/test_results/20260713_114638/20260713_114638.json,multiple test jsons: 3; used latest 20260713_114638
varroa_mmdet_runs_fcos_dgfe_api,43,fcos,dgfe_api,0.32,0.9,0.105,0.314,0.347,2026-07-14T10:04:47.354902+00:00,hf_runs/varroa_mmdet_runs_fcos_dgfe_api/varroa_fcos_dgfe_api_seed43/fcos/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_fcos_dgfe_api/varroa_fcos_dgfe_api_seed43/fcos/dgfe_api/test_results/20260714_100432/20260714_100432.json,
varroa_mmdet_runs_newmodels,43,fcos,dgfe_api,0.323,0.902,0.122,0.309,0.363,2026-07-13T11:46:55.626039+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed43/fcos/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed43/fcos/dgfe_api/test_results/20260713_114638/20260713_114638.json,multiple test jsons: 3; used latest 20260713_114638
varroa_mmdet_runs_fcos_dgfe_api,44,fcos,dgfe_api,0.268,0.833,0.063,0.238,0.341,2026-07-14T10:14:49.157677+00:00,hf_runs/varroa_mmdet_runs_fcos_dgfe_api/varroa_fcos_dgfe_api_seed44/fcos/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_fcos_dgfe_api/varroa_fcos_dgfe_api_seed44/fcos/dgfe_api/test_results/20260714_101434/20260714_101434.json,
varroa_mmdet_runs_newmodels,44,fcos,dgfe_api,0.294,0.866,0.097,0.282,0.317,2026-07-13T13:15:23.479276+00:00,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/fcos/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels/varroa_4models_seed44/fcos/dgfe_api/test_results/20260713_131509/20260713_131509.json,
varroa_srtod_runs,44,fcos,srtod,0.287,0.865,0.086,0.296,0.303,2026-07-13T15:22:44.676029+00:00,hf_runs/varroa_srtod_runs/fcos/job_summary.json,hf_runs/varroa_srtod_runs/fcos/test_results/20260713_152230/20260713_152230.json,multiple test jsons: 3; used latest 20260713_152230
varroa_mmdet_runs_newmodels_atss_tood,42,tood,base,0.334,0.874,0.127,0.309,0.381,2026-07-13T14:48:14.406508+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed42/tood/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed42/tood/base/test_results/20260713_144757/20260713_144757.json,
varroa_mmdet_runs_newmodels_atss_tood,43,tood,base,0.33,0.89,0.113,0.313,0.373,2026-07-13T15:14:14.183773+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed43/tood/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed43/tood/base/test_results/20260713_151356/20260713_151356.json,
varroa_mmdet_runs_newmodels_atss_tood,44,tood,base,0.341,0.888,0.135,0.331,0.376,2026-07-13T15:38:07.480422+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed44/tood/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed44/tood/base/test_results/20260713_153750/20260713_153750.json,
varroa_mmdet_runs_newmodels_atss_tood,42,tood,dgfe_api,0.335,0.89,0.11,0.325,0.35,2026-07-16T01:23:02.788791+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed42/tood/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed42/tood/dgfe_api/test_results/20260716_012245/20260716_012245.json,multiple test jsons: 2; used latest 20260716_012245
varroa_mmdet_runs_newmodels_atss_tood,43,tood,dgfe_api,0.336,0.889,0.125,0.318,0.379,2026-07-16T01:42:08.162725+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed43/tood/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed43/tood/dgfe_api/test_results/20260716_014150/20260716_014150.json,multiple test jsons: 2; used latest 20260716_014150
varroa_mmdet_runs_newmodels_atss_tood,44,tood,dgfe_api,0.331,0.873,0.108,0.324,0.36,2026-07-16T02:01:11.940497+00:00,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed44/tood/dgfe_api/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_atss_tood/varroa_4models_seed44/tood/dgfe_api/test_results/20260716_020054/20260716_020054.json,
varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet,43,vfnet,base,0.304,0.864,0.103,0.253,0.413,2026-07-15T15:08:11.434376+00:00,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed43/vfnet/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed43/vfnet/base/test_results/20260715_150755/20260715_150755.json,excluded from main table: user said this model failed
varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet,44,vfnet,base,0.287,0.842,0.104,0.245,0.377,2026-07-15T16:02:33.105614+00:00,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed44/vfnet/base/job_summary.json,hf_runs/varroa_mmdet_runs_newmodels_dyhead_reppoints_vfnet/varroa_4models_seed44/vfnet/base/test_results/20260715_160218/20260715_160218.json,excluded from main table: user said this model failed
